ID,Customer_ID,Month,Name,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_History_Age_Months,Num_Loan_Types_Derived,SSN
0x160a,CUS_0xd40,September,Aaron Maashoh,23,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan,, Home Equity Loan",3,7,11.27,2022,Good,809.98,35.03040185583525,No,49.57494921489417,236.64268203272127,Low_spent_Small_value_payments,186.26670208571767,273.0,4,821-00-0265
0x160b,CUS_0xd40,October,Aaron Maashoh,24,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan,, Home Equity Loan",3,9,13.27,4,Good,809.98,33.053114497012245,No,49.57494921489417,21.465380264657146,High_spent_Medium_value_payments,361.444003853782,274.0,4,821-00-0265
0x160c,CUS_0xd40,November,Aaron Maashoh,24,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan,, Home Equity Loan",3,4,12.27,4,Good,809.98,33.811894118574465,No,49.57494921489417,148.23393788500923,Low_spent_Medium_value_payments,264.67544623343,225.0,4,821-00-0265
0x160d,CUS_0xd40,December,Aaron Maashoh,24,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan,, Home Equity Loan",4,5,11.27,4,Good,809.98,32.430559017296765,No,49.57494921489417,39.08251089460281,High_spent_Medium_value_payments,343.82687322383634,276.0,4,821-00-0265
0x1616,CUS_0x21b1,September,Rick Rothackerj,28,Unknown,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,1,5.42,5,Good,605.03,25.92682170377555,No,18.816214573128885,39.684018417945296,High_spent_Large_value_payments,485.2984336755923,327.0,1,004-07-5839
0x1617,CUS_0x21b1,October,Rick Rothackerj,28,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,3,5.42,5,Good,605.03,30.11660045002501,No,18.816214573128885,251.6273687501761,Low_spent_Large_value_payments,303.3550833433617,328.0,1,004-07-5839
0x1618,CUS_0x21b1,November,Rick Rothackerj,28,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,2,5.42,5,Unknown,605.03,30.996423739085607,No,18.816214573128885,72.68014533363515,High_spent_Large_value_payments,452.30230675990265,329.0,1,004-07-5839
0x1619,CUS_0x21b1,December,Rick Rothackerj,28,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,2,7.42,5,Unknown,605.03,33.875167221549795,No,18.816214573128885,153.53448761392983,!@9#%8,421.44796447960783,330.0,1,004-07-5839
0x1622,CUS_0x2dbc,September,Langep,35,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan,, Not Specified",8,1942,7.1,3,Good,1303.01,35.22970733005963,No,246.9923194537421,397.5036535440465,Low_spent_Medium_value_payments,854.2260270022115,221.0,3,486-85-3974
0x1623,CUS_0x2dbc,October,Langep,35,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan,, Not Specified",6,3,2.1,3,Good,1303.01,35.68583594909283,No,246.9923194537421,453.6151305781054,Low_spent_Large_value_payments,788.1145499681528,222.0,3,486-85-3974
0x1624,CUS_0x2dbc,November,Unknown,35,Engineer,143162.64,12187.22,1,5,8,1381,"Auto Loan, Auto Loan,, Not Specified",8,5,7.1,5,Good,1303.01,31.81984543225805,No,246.9923194537421,841.2322359154716,Low_spent_Medium_value_payments,410.4974446307865,223.0,3,486-85-3974
0x1625,CUS_0x2dbc,December,Langep,35,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan,, Not Specified",8,6,7.1,5,Good,1303.01,33.707168865856374,No,246.9923194537421,506.30777972175247,High_spent_Medium_value_payments,715.4219008245058,225.0,3,486-85-3974
0x162e,CUS_0xb891,September,Jasond,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,6,1.99,4,Good,632.46,39.37721939916439,No,16.415451659824875,69.10700584725082,High_spent_Medium_value_payments,425.7266258262577,215.0,1,072-31-6145
0x162f,CUS_0xb891,October,Jasond,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,8,1.99,4,Unknown,632.46,36.28047544534424,No,16.415451659824875,29.393311428984493,High_spent_Large_value_payments,455.4403202,216.0,1,072-31-6145
0x1630,CUS_0xb891,November,Jasond,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,6,1.99,4,Good,632.46,36.82446782218685,No,16.415451659824875,191.88624358002707,Low_spent_Medium_value_payments,332.9473880934814,217.0,1,072-31-6145
0x1631,CUS_0xb891,December,Jasond,55,Entrepreneur,4148862.0,2612.4908333333333,2,5,4,1,Not Specified,6,6,1.99,7,Good,632.46,35.57926495,No,16.415451659824875,233.93341714114607,Low_spent_Small_value_payments,300.90021453236227,218.0,1,072-31-6145
0x163a,CUS_0x1cdb,September,Deepaa,22,Developer,35547.71,2853.3091666666664,7,5,5,0,Unknown,5,15,2.58,4,Unknown,943.86,34.72984235509026,Yes,0.0,59.36605764456292,High_spent_Medium_value_payments,475.96485902210367,376.0,1,615-06-7821
0x163b,CUS_0x1cdb,October,Deepaa,22,Developer,35547.71,2853.3091666666664,7,5,5,0,Unknown,5,18,2.58,5,Standard,943.86,31.65235104376109,Yes,0.0,113.45265630966416,High_spent_Medium_value_payments,421.8782603570025,377.0,1,615-06-7821
0x163c,CUS_0x1cdb,November,Deepaa,22,Developer,35547.71,2853.3091666666664,7,5,5,1,Unknown,5,15,2.58,5,Standard,943.86,36.42483452800961,Yes,0.0,46.56457517290926,High_spent_Medium_value_payments,488.7663414937574,225.0,1,615-06-7821
0x163d,CUS_0x1cdb,December,Deepaa,22,Developer,35547.71,2853.3091666666664,7,5,5,0,Unknown,5,18,2.58,5,Standard,943.86,29.56612273444377,Yes,0.0,181.0072171318061,Low_spent_Small_value_payments,394.3236995348605,379.0,1,615-06-7821
0x1646,CUS_0x95ee,September,Np,31,Lawyer,73928.46,5988.705000000001,4,5,8,0,Unknown,8,7,14.14,4,Good,548.2,38.13542413744779,No,0.0,56.12102437604161,High_spent_Large_value_payments,782.7494756239585,391.0,1,612-70-8987
0x1647,CUS_0x95ee,October,Np,32,Lawyer,73928.46,5988.705000000001,4,5,8,0,Unknown,9,7,10.14,4,Good,548.2,38.22647526827564,No,0.0,160.24431272401932,High_spent_Small_value_payments,698.6261872759807,392.0,1,612-70-8987
